"","State","Population"
"1","California",39431263
"2","Texas",31290831
"3","Florida",23372215
"4","New York",19867248
"5","Pennsylvania",13078751
"6","Illinois",12710158
"7","Ohio",11883304
"8","Georgia",11180878
"9","North Carolina",11046024
"10","Michigan",10140459
"11","New Jersey",9500851
"12","Virginia",8811195
"13","Washington",7958180
"14","Arizona",7582384
"15","Tennessee",7227750
"16","Massachusetts",7136171
"17","Indiana",6924275
"18","Maryland",6263220
"19","Missouri",6245466
"20","Wisconsin",5960975
"21","Colorado",5957493
"22","Minnesota",5793151
"23","South Carolina",5478831
"24","Alabama",5157699
"25","Louisiana",4597740
"26","Kentucky",4588372
"27","Oregon",4272371
"28","Oklahoma",4095393
"29","Connecticut",3675069
"30","Utah",3503613
"31","Nevada",3267467
"32","Iowa",3241488
"33","Puerto Rico",3203295
"34","Arkansas",3088354
"35","Kansas",2970606
"36","Mississippi",2943045
"37","New Mexico",2130256
"38","Nebraska",2005465
"39","Idaho",2001619
"40","West Virginia",1769979
"41","Hawaii",1446146
"42","New Hampshire",1409032
"43","Maine",1405012
"44","Montana",1137233
"45","Rhode Island",1112308
"46","Delaware",1051917
"47","South Dakota",924669
"48","North Dakota",796568
"49","Alaska",740133
"50","District of Columbia",702250
"51","Vermont",648493
"52","Wyoming",587618
"53","Guam[11]",NA
"54","U.S. Virgin Islands[12]",NA
"55","American Samoa[13]",NA
"56","Northern Mariana Islands[14]",NA
"57","Contiguous United States",337924709
"58","The 50 states",339408738
"59","The 50 states and D.C.",340110988
"60","Total US and territories",NA
